id,question,gold_answer,generated_answer,expected_source,retrieved_sources,retrieved_snippets,citation_match_auto,exact_match_score,partial_match_score,latency_seconds,groundedness_manual_score,citation_accuracy_manual_score
11,What security measures are required for storing personal data?,"Electronic personal data should be stored securely using measures such as passwords, two-factor authentication, geo-restricted authentication, SSL encryption, or RSA encryption.","Answer:
We have introduced appropriate administrative, physical and technical measures to secure all storage and transmission of personal data, including up-to-date antivirus protection, encryption, and the use of privacy filters.

Citations:
- Website Privacy Policy - website_privacy_policy.md
- Customer Privacy Policy - customer_privacy_policy.md

Relevant Snippets:
- We have put in place appropriate security measures to prevent your personal data from being accidentally lost, used or accessed in an unauthorized way, altered or disclosed. We have introduced appropriate administrative, physical and technical measures such as up-to-date antivirus protection, encryption and the use of privacy filters to secure all storage and transmission of personal data by us. 
  (Source 1: Website Privacy Policy - website_privacy_policy.md)
- We have introduced appropriate administrative, physical and technical measures to secure all storage and transmission of personal data, including up-to-date antivirus protection, encryption, and the use of privacy filters.
  (Source 4: Customer Privacy Policy - customer_privacy_policy.md)",data_protection_policy.md,"['website_privacy_policy.md', 'website_privacy_policy.md', 'website_privacy_policy.md', 'customer_privacy_policy.md']","['2.7\tData security\nWe have put in place appropriate security measures to prevent your personal data from being accidentally lost, used or accessed in an unauthorized way, altered or disclosed. We have introduced appropriate administrative, physical and technical measures such as up-to-date antivirus ', '2.7\tData security\nWe have put in place appropriate security measures to prevent your personal data from being accidentally lost, used or accessed in an unauthorized way, altered or disclosed. We have introduced appropriate administrative, physical and technical measures such as up-to-date antivirus ', '2.7\tData security\nWe have put in place appropriate security measures to prevent your personal data from being accidentally lost, used or accessed in an unauthorized way, altered or disclosed. We have introduced appropriate administrative, physical and technical measures such as up-to-date antivirus ', '3.7\tData security\nWe have put in place appropriate security measures to prevent your personal data from being accidentally lost, used or accessed in an unauthorized way, altered or disclosed. We have introduced appropriate administrative, physical and technical measures such as up-to-date antivirus ']",False,0,0.0,9.285,,
12,Can employees share passwords?,"No. Passwords should not be written down or shared between employees, agents, contractors, or other parties.","Answer:
No, employees should not share passwords.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- Under no circumstances should any passwords be written down or shared between any employees, agents, contractors, or other parties working on behalf of Kenya Aviation Limited, irrespective of seniority or department.",data_protection_policy.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","['All passwords used to protect personal data should be changed regularly and should not use words or phrases that can be easily guessed or otherwise compromised. All passwords must contain a combination of uppercase and lowercase letters, numbers, and symbols; Under no circumstances should any passwo', 'All passwords used to protect personal data should be changed regularly and should not use words or phrases that can be easily guessed or otherwise compromised. All passwords must contain a combination of uppercase and lowercase letters, numbers, and symbols; Under no circumstances should any passwo', 'All passwords used to protect personal data should be changed regularly and should not use words or phrases that can be easily guessed or otherwise compromised. All passwords must contain a combination of uppercase and lowercase letters, numbers, and symbols; Under no circumstances should any passwo', '3.\tAll sharing of personal data shall comply with the information provided to the relevant data subjects and, if required, the consent of such data subjects shall be obtained prior to the sharing of their personal data; \n4.\tAll employees, agents, contractors, or other parties working on behalf of th']",True,0,1.0,9.392,,
13,What is the purpose of the Data Retention Policy?,"It establishes guidelines for retaining and disposing records and data in line with legal, regulatory, operational, and business requirements.","Answer:
The purpose of the Data Retention Policy is to establish guidelines for the retention and disposal of records and data within Kenya Aviation Limited, in accordance with the Data Protection Act, 2019, and other applicable regulations.

Citations:
- Data Retention Policy - data_retention_policy.md

Relevant Snippets:
- ""This Data Retention Policy establishes guidelines for the retention and disposal of records and data within Kenya Aviation Limited, in accordance with the Data Protection Act, 2019, and other applicable regulations."" 
- ""This Policy also serves the purpose of aiding employees of the company in understanding their obligations in retaining electronic documents...""",data_retention_policy.md,"['data_retention_policy.md', 'data_retention_policy.md', 'data_retention_policy.md', 'data_retention_policy.md']","['4.\tQuality Department: Responsible for monitoring of this policy.\n4.3.2\tData Retention Periods\nWe may retain personal data for as long as it is necessary to fulfil the purpose for which\nit was collected, or as required or permitted by applicable laws. \nWe will cease to retain personal data, or remov', '4.\tQuality Department: Responsible for monitoring of this policy.\n4.3.2\tData Retention Periods\nWe may retain personal data for as long as it is necessary to fulfil the purpose for which\nit was collected, or as required or permitted by applicable laws. \nWe will cease to retain personal data, or remov', '4.\tQuality Department: Responsible for monitoring of this policy.\n4.3.2\tData Retention Periods\nWe may retain personal data for as long as it is necessary to fulfil the purpose for which\nit was collected, or as required or permitted by applicable laws. \nWe will cease to retain personal data, or remov', 'This Data Retention Policy establishes guidelines for the retention and disposal of records and data within Kenya Aviation Limited, in accordance with the Data Protection Act, 2019, and other applicable regulations. This policy ensures information is retained for appropriate durations to meet legal,']",True,0,0.5,9.704,,
14,How should sensitive physical records be disposed of?,"They should be disposed of securely through shredding, secure incineration, or professional data destruction services.","Answer:
Sensitive physical records should be disposed of through shredding, secure incineration, or professional data destruction services.

Citations:
- Data Retention Policy - data_retention_policy.md

Relevant Snippets:
- a. Physical Records: Shredding, secure incineration, or professional data destruction services.",data_retention_policy.md,"['data_retention_policy.md', 'data_retention_policy.md', 'data_retention_policy.md', 'data_subject_request_procedures.md']","['a.\tPhysical Records: Shredding, secure incineration, or professional data destruction services.\nb.\tElectronic Records: Secure deletion, data wiping, physical destruction of storage media or and ensuring that backup tapes are destroyed/overwritten.\n4.\tData Breach Considerations: In the event of a dat', 'a.\tPhysical Records: Shredding, secure incineration, or professional data destruction services.\nb.\tElectronic Records: Secure deletion, data wiping, physical destruction of storage media or and ensuring that backup tapes are destroyed/overwritten.\n4.\tData Breach Considerations: In the event of a dat', 'a.\tPhysical Records: Shredding, secure incineration, or professional data destruction services.\nb.\tElectronic Records: Secure deletion, data wiping, physical destruction of storage media or and ensuring that backup tapes are destroyed/overwritten.\n4.\tData Breach Considerations: In the event of a dat', 'b)\tEnsure there are no overriding legal or operational requirements to retain the data (e.g., legal retention periods).\n3)\tData Erasure: \na)\tDelete all applicable personal data from internal systems, databases, and archives.\nb)\tNotify all relevant third parties to erase the data from their systems.\n']",True,0,1.0,8.934,,
15,What must third-party processors do if they experience a breach?,They must immediately notify Kenya Aviation Limited of any data breaches or incidents of non-compliance.,"Answer:
Third-party processors must not be explicitly instructed on what to do in case of a breach within the provided policy context.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- There is no mention of breach procedures in the provided policy context.",data_protection_policy.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","['1.8.3\tUse of Third Party Processors\nKenya Aviation Limited may engage external processors for certain data processing activities. We follow strict guidelines and procedures when establishing business relationships with third-party service providers, particularly concerning vendor selection and priva', '1.8.3\tUse of Third Party Processors\nKenya Aviation Limited may engage external processors for certain data processing activities. We follow strict guidelines and procedures when establishing business relationships with third-party service providers, particularly concerning vendor selection and priva', '1.8.3\tUse of Third Party Processors\nKenya Aviation Limited may engage external processors for certain data processing activities. We follow strict guidelines and procedures when establishing business relationships with third-party service providers, particularly concerning vendor selection and priva', 'Our contracts with third-party processors include, but are not limited to, the following key obligations:\n1.\tProcessing on Documented Instructions: The processor is required to process personal data solely based on Kenya Aviation Limited’s documented instructions.\n2.\tTransfers to Third Countries: Th']",True,0,0.0,9.146,,
16,What must be done before engaging a third-party processor?,"The company must ensure the processor is suitable, competent, capable, and where possible enter into a controller and processor agreement.","Answer:
Before engaging a third-party processor, Kenya Aviation Limited must ensure that they are suitable, competent, and capable of performing the required tasks. This involves obtaining all necessary information to verify that the processor is adequate and effective for the assignment.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- ""Before engaging any processor, we ensure that they are suitable, competent, and capable of performing the required tasks. This involves obtaining all necessary information to verify that the processor is adequate and effective for the assignment."" 
  (Data Protection Policy - data_protection_policy.md)",data_protection_policy.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","['1.8.3\tUse of Third Party Processors\nKenya Aviation Limited may engage external processors for certain data processing activities. We follow strict guidelines and procedures when establishing business relationships with third-party service providers, particularly concerning vendor selection and priva', '1.8.3\tUse of Third Party Processors\nKenya Aviation Limited may engage external processors for certain data processing activities. We follow strict guidelines and procedures when establishing business relationships with third-party service providers, particularly concerning vendor selection and priva', '1.8.3\tUse of Third Party Processors\nKenya Aviation Limited may engage external processors for certain data processing activities. We follow strict guidelines and procedures when establishing business relationships with third-party service providers, particularly concerning vendor selection and priva', 'Our contracts with third-party processors include, but are not limited to, the following key obligations:\n1.\tProcessing on Documented Instructions: The processor is required to process personal data solely based on Kenya Aviation Limited’s documented instructions.\n2.\tTransfers to Third Countries: Th']",True,0,0.5,8.595,,
17,When should a DPIA be conducted?,"A DPIA should be conducted for high-risk processing, major system or business changes involving personal data, automated processing, large-scale sensitive data processing, or systematic monitoring.","Answer:
A DPIA must be conducted before any large-scale Processing of Sensitive Categories of Personal Data, and large-scale, systematic monitoring of a publicly accessible area, as well as before any Automated Processing (including profiling) or ADM activities are undertaken.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- A DPIA must include: 
  •	a description of the Processing, its purposes and the Controller's legitimate interests if appropriate; 
  •	an assessment of the necessity and proportionality of the Processing in relation to its purpose; 
  •	an assessment of the risk to individuals; and 
  •	the risk mitigation measures in place and demonstration of compliance.
- A DPIA must be carried out before any Automated Processing (including profiling) or ADM activities are undertaken.",data_protection_policy.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","[""•\tlarge-scale Processing of Sensitive Categories of Personal Data; and \n•\tlarge-scale, systematic monitoring of a publicly accessible area.\nA DPIA must include:\n•\ta description of the Processing, its purposes and the Controller's legitimate interests if appropriate; \n•\tan assessment of the necessity"", ""•\tlarge-scale Processing of Sensitive Categories of Personal Data; and \n•\tlarge-scale, systematic monitoring of a publicly accessible area.\nA DPIA must include:\n•\ta description of the Processing, its purposes and the Controller's legitimate interests if appropriate; \n•\tan assessment of the necessity"", ""•\tlarge-scale Processing of Sensitive Categories of Personal Data; and \n•\tlarge-scale, systematic monitoring of a publicly accessible area.\nA DPIA must include:\n•\ta description of the Processing, its purposes and the Controller's legitimate interests if appropriate; \n•\tan assessment of the necessity"", 'A DPIA must be carried out before any Automated Processing (including profiling) or ADM activities are undertaken.\n1.7.2\tDirect marketing']",True,0,0.5,8.645,,
18,What should a privacy notice include?,"It should include the controller and DPO details, processing purposes, lawful basis, data categories, recipients, transfers, retention periods, data subject rights, and complaint rights.","Answer:
A Privacy Notice provided by Kenya Aviation Limited should include information on the identity of the Controller and DPO, how and why the company will use, Process, disclose, protect, and retain the Personal Data.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- ""Whenever we collect Personal Data directly from Data Subjects, including for human resources or employment purposes, we must provide the Data Subject with all the information required by the DPA including the identity of the Controller and DPO, how and why we will use, Process, disclose, protect and retain that Personal Data through a Privacy Notice which must be presented when the Data Subject first provides the Personal Data."" 
- ""Kenya Aviation Limited uses Privacy Notices, which are separate documents from our internal Data Protection Policy and are provided to all data subjects including... at the time we collect their personal data (or at the earliest possibility where that data is obtained indirectly).""",data_protection_policy.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","['Whenever we collect Personal Data directly from Data Subjects, including for human resources or employment purposes, we must provide the Data Subject with all the information required by the DPA including the identity of the Controller and DPO, how and why we will use, Process, disclose, protect and', 'Whenever we collect Personal Data directly from Data Subjects, including for human resources or employment purposes, we must provide the Data Subject with all the information required by the DPA including the identity of the Controller and DPO, how and why we will use, Process, disclose, protect and', 'Whenever we collect Personal Data directly from Data Subjects, including for human resources or employment purposes, we must provide the Data Subject with all the information required by the DPA including the identity of the Controller and DPO, how and why we will use, Process, disclose, protect and', 'Kenya Aviation Limited uses Privacy Notices, which are separate documents from our internal Data Protection Policy and are provided to all data subjects including job candidates, employees, contractors, sub-contractors, Kenya Aviation Limited’s website visitors, physical site visitors, customers, su']",True,0,0.5,9.413,,
19,What should happen when a data subject withdraws consent?,"Processing activities based on that consent should stop, relevant departments and third parties should be notified, and records updated.","Answer:
When a data subject withdraws consent, it will not affect the lawfulness of any processing carried out before the withdrawal. However, it may affect the provision of certain products or services to the data subject.

Citations:
- Website Privacy Policy - website_privacy_policy.md
- Customer Privacy Policy - customer_privacy_policy.md

Relevant Snippets:
- ""Withdraw consent at any time where we are relying on consent to process your personal data. However, this will not affect the lawfulness of any processing carried out before you withdraw your consent."" (Website Privacy Policy - website_privacy_policy.md)
- ""Withdraw consent at any time where we are relying on consent to process your personal data. However, this will not affect the lawfulness of any processing carried out before you withdraw your consent."" (Customer Privacy Policy - customer_privacy_policy.md)",data_subject_request_procedures.md,"['website_privacy_policy.md', 'website_privacy_policy.md', 'website_privacy_policy.md', 'customer_privacy_policy.md']","['f.\tRequest the transfer of your personal data to you or to a third party. We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format. Note that this right only applies to automated information that you initially provided conse', 'f.\tRequest the transfer of your personal data to you or to a third party. We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format. Note that this right only applies to automated information that you initially provided conse', 'f.\tRequest the transfer of your personal data to you or to a third party. We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format. Note that this right only applies to automated information that you initially provided conse', 'n.\tRequest the transfer of your personal data to you or to a third party. We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format. Note that this right only applies to automated information that you initially provided conse']",False,0,0.0,11.163,,
20,What happens if a question is outside the policy corpus?,The assistant should state that it can only answer based on the Kenya Aviation Limited data protection policy corpus.,"Answer:
If a question is outside the policy corpus, I will not be able to provide an answer based on the available policy documents.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- This Data Protection Policy (together with Related Policies and Privacy Guidelines) is an internal document and cannot be shared with third parties, clients or regulators without prior authorization from the DPO.",,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","['Where you have a specific responsibility in connection with Processing such as capturing Consent, reporting a Personal Data Breach, conducting a DPIA as referenced in this Data Protection Policy or otherwise then you must comply with the Related Policies and Privacy Guidelines.  \nThis Data Protectio', 'Where you have a specific responsibility in connection with Processing such as capturing Consent, reporting a Personal Data Breach, conducting a DPIA as referenced in this Data Protection Policy or otherwise then you must comply with the Related Policies and Privacy Guidelines.  \nThis Data Protectio', 'Where you have a specific responsibility in connection with Processing such as capturing Consent, reporting a Personal Data Breach, conducting a DPIA as referenced in this Data Protection Policy or otherwise then you must comply with the Related Policies and Privacy Guidelines.  \nThis Data Protectio', 'This policy applies to all Company Personnel (""you"", ""your""). You must read, understand and comply with this policy when processing personal data on our behalf and attend training on its requirements. This policy sets out what we expect from you for the Company to comply with applicable law(s). Your']",False,0,0.5,9.538,,
